course_title,course_duration,course_type,old_price,new_price,image_url,course_link
"Web Design | HTML , CSS & JS | 2 Months",100h,Development,"Rs.14,999","Rs.9,999",https://sipalaya.com/wp-content/uploads/2024/04/Blue-Illustrative-Employee-Training-Presentation-1-1.png,https://sipalaya.com/courses/web-design/
UI / UX Design | 2.5 Months,100h,Design,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2024/03/UI-UX.png,https://sipalaya.com/courses/ui-ux/
App Development with Flutter | 2.5 Months,100h,App Development,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2024/03/Dart-Flutter.png,https://sipalaya.com/courses/dart-with-flutter/
Java With Spring & Hibernate | 3 Months,100h,Development,"Rs.24,999","Rs.19,999",https://sipalaya.com/wp-content/uploads/2024/03/Blue-Illustrative-Employee-Training-Presentation-1.png,https://sipalaya.com/courses/java/
PHP With Laravel | 2.5 Months,100h,Development,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2024/03/Blue-Illustrative-Employee-Training-Presentation.png,https://sipalaya.com/courses/php-with-laravel/
Artificial Intelligence: Shape Future Innovations | 2.5 Months,100h,Development,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2024/02/AI-Featured-Image.png,https://sipalaya.com/courses/introduction-to-ai-and-python/
Graphic Design | 2.5 Months,100h,Design,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2024/02/Blue-Illustrative-Employee-Training-Presentation-1.png,https://sipalaya.com/courses/graphic-design/
Python With Data Science | 3 Months,100h,Development,"Rs.24,999","Rs.19,999",https://sipalaya.com/wp-content/uploads/2024/02/Blue-Illustrative-Employee-Training-Presentation.png,https://sipalaya.com/courses/python-with-data-science/
Frontend Development With React JS | 2.5 Months,97h,Development,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2024/02/Blue-Illustrative-Employee-Training-Presentation-5.png,https://sipalaya.com/courses/frontend-development-with-react-js/
MERN Stack | 3 Months,100h,Development,"Rs.29,999","Rs.19,999",https://sipalaya.com/wp-content/uploads/2024/02/Blue-Illustrative-Employee-Training-Presentation-2.png,https://sipalaya.com/courses/mern-stack/
Full Stack Web Development in Python With Django | 3 Months,100h,Development,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2024/02/Blue-Illustrative-Employee-Training-Presentation-3.png,https://sipalaya.com/courses/python-with-django-2/
Physical / Online Digital Marketing Training | 2.5 Months |,100h,Digital Marketing,"Rs.19,999","Rs.14,999",https://sipalaya.com/wp-content/uploads/2023/10/Blue-Illustrative-Employee-Training-Presentation-4.png,https://sipalaya.com/courses/digital-marketing/
