,Runtime,Runtime,Runtime,IMDB_Rating,IMDB_Rating
,mean,max,mean,mean,max
Genre,,,,,
Action,136.86,321,136.86,7.9639999999999995,9.0
Adventure,136.69230769230768,212,136.69230769230768,7.907692307692307,8.3
Animation,98.44827586206897,137,98.44827586206897,7.982758620689655,8.6
Biography,137.0,186,137.0,7.951724137931034,8.6
Comedy,112.18,188,112.18,7.8420000000000005,8.3
Crime,130.05405405405406,189,130.05405405405406,8.13783783783784,9.2
Drama,123.94186046511628,238,123.94186046511628,7.965116279069767,8.8
Fantasy,76.0,76,76.0,8.1,8.1
Film-Noir,104.0,104,104.0,8.1,8.1
Horror,101.5,103,101.5,7.699999999999999,7.8
Mystery,100.0,100,100.0,7.6,7.6
Western,165.0,165,165.0,8.5,8.5
